outbreakId,reportId,diseaseName,diseaseType,startDate,endDate,status,totalOutbreaks,totalCases,locationName,species,animalCategoryLabel,isClusterLabel,latitude,longitude,animalCategory,isCluster,geometry,date
140928,4247,H5N1 (HPAI non. Plt),,21/09/2024,31/12/2024,Resolved,1,,Tulare County,Euphagus cyanocephalus,Wild,No,36.329,-119.315,wild,FALSE,POINT (-119.3115234375 36.3328280873792),2024-09-21
112351,4247,H5N1 (HPAI non. Plt),,6/12/2022,31/12/2022,Resolved,1,,Pershing County,Centrocercus urophasianus,Wild,No,40.181,-118.476,wild,FALSE,POINT (-118.4765625 40.17887331434699),2022-12-06
106714,4247,H5N1 (HPAI non. Plt),,3/08/2022,31/12/2022,Resolved,1,,North Slope Borough,Rissa tridactyla,Wild,No,71.248,-156.77,wild,FALSE,POINT (-156.77490234375 71.24788765673645),2022-08-03
124638,4247,H5N1 (HPAI non. Plt),,19/07/2023,31/12/2023,Resolved,1,,North Slope Borough,Ardenna tenuirostris,Wild,No,71.292,-156.783,wild,FALSE,POINT (-156.785888671875 71.29374720578107),2023-07-19
143545,4247,H5N1 (HPAI non. Plt),,5/11/2024,,Continuing,1,8,Honolulu County,"Anas platyrhynchos, Birds, Cairina moschata",Domestic and wild,No,21.306,-157.86,both,FALSE,POINT (-157.862548828125 21.309846141087192),2024-11-05
143683,4247,H5N1 (HPAI non. Plt),,7/11/2024,,Continuing,1,,Honolulu County,Birds,Domestic,No,21.306,-157.861,domestic,FALSE,POINT (-157.862548828125 21.309846141087192),2024-11-07
144026,4247,H5N1 (HPAI non. Plt),,1/11/2024,31/12/2024,Resolved,1,1,Honolulu County,Anatidae (incognita),Wild,No,21.307,-157.857,wild,FALSE,POINT (-157.8515625 21.309846141087192),2024-11-01
148262,4247,H5N1 (HPAI non. Plt),,31/12/2024,,Continuing,1,,Brazoria County,Birds,Domestic,No,29.168,-95.431,domestic,FALSE,POINT (-95.42724609375 29.171348850951503),2024-12-31
108963,4247,empty strain - H5N1 (HPAI non. Plt),,7/10/2022,31/12/2022,Resolved,1,1,Chambers County,"Plegadis falcinellus, Sterna forsteri",Wild,No,29.769,-94.685,wild,FALSE,POINT (-94.68017578125 29.76437737516312),2022-10-07
116579,4247,H5N1 (HPAI non. Plt),,11/10/2022,31/12/2022,Resolved,1,,Chambers County,Ajaia ajaja,Wild,No,29.773,-94.687,wild,FALSE,POINT (-94.691162109375 29.773913869992242),2022-10-11
108428,4247,H5N1 (HPAI non. Plt),,19/10/2022,31/12/2022,Resolved,1,,Cameron and Jefferson Davis Parish,Anas discors,Wild,No,29.795,-93.326,wild,FALSE,POINT (-93.328857421875 29.792984135470505),2022-10-19
146548,4247,H5N1 (HPAI non. Plt),,6/12/2024,,Continuing,1,,Jefferson Davis Parish,Birds,Domestic,No,30.218,-92.641,domestic,FALSE,POINT (-92.63671875 30.221101852485987),2024-12-06
151596,4247,H5N1 (HPAI non. Plt),,1/02/2025,,Continuing,1,,Calcasieu Parish,Birds,Domestic,No,30.237,-93.363,domestic,FALSE,POINT (-93.36181640625 30.240086360983426),2025-02-01
127941,4247,H5N1 (HPAI non. Plt),,8/11/2023,1/04/2024,Resolved,1,,Grimes County,Birds,Domestic,No,30.489,-95.997,domestic,FALSE,POINT (-95.99853515625 30.486550842588485),2023-11-08
148261,4247,H5N1 (HPAI non. Plt),,2/01/2025,,Continuing,1,,Burnet County,Birds,Domestic,No,30.757,-98.227,domestic,FALSE,POINT (-98.228759765625 30.76071890894447),2025-01-02
108970,4247,H5N1 (HPAI non. Plt),,13/10/2022,31/12/2022,Resolved,1,,Catahoula Parish,Balearica regulorum,Wild,No,31.772,-91.824,wild,FALSE,POINT (-91.82373046875 31.77487761850739),2022-10-13
127276,4247,H5N1 (HPAI non. Plt),,24/10/2023,31/12/2023,Resolved,1,,Pima County,"Cyanocorax chrysops, Eudocimus ruber, Sarcoramphus papa",Wild,No,32.222,-111.974,wild,FALSE,POINT (-111.97265625 32.222095840502334),2023-10-24
127577,4247,H5N1 (HPAI non. Plt),,27/10/2023,2/04/2024,Resolved,1,,Ellis County,Birds,Domestic,No,32.385,-96.846,domestic,FALSE,POINT (-96.844482421875 32.38923910985902),2023-10-27
145442,4247,H5N1 (HPAI non. Plt),,7/12/2024,,Continuing,1,,Bossier Parish,Birds,Domestic,No,32.68,-93.744,domestic,FALSE,POINT (-93.746337890625 32.676372772089834),2024-12-07
109559,4247,H5N1 (HPAI non. Plt),,9/11/2022,31/12/2022,Resolved,1,,San Diego County,"Ardeidae (incognita), Egretta thula, Plegadis chihi",Wild,No,32.717,-117.166,wild,FALSE,POINT (-117.169189453125 32.71335535317755),2022-11-09
107127,4247,H5N1 (HPAI non. Plt),,16/09/2022,1/03/2023,Resolved,1,,Dallas County,Birds,Domestic,No,32.756,-96.796,domestic,FALSE,POINT (-96.800537109375 32.759562025650126),2022-09-16
108971,4247,H5N1 (HPAI non. Plt),,25/10/2022,31/12/2022,Resolved,1,,Tarrant County,Phoenicopterus minor,Wild,No,32.756,-97.319,wild,FALSE,POINT (-97.31689453125 32.759562025650126),2022-10-25
152601,4247,H5N1 (HPAI non. Plt),,1/01/2025,,Continuing,1,,Graham County,Birds,Domestic,No,32.833,-109.717,domestic,FALSE,POINT (-109.720458984375 32.833442846649504),2025-01-01
112082,4247,H5N1 (HPAI non. Plt),,15/12/2022,31/12/2022,Resolved,1,,San Diego County,Branta bernicla,Wild,No,32.841,-117.121,wild,FALSE,POINT (-117.125244140625 32.84267363195431),2022-12-15
106827,4247,clade 2.3.4.4.b - H5N1 (HPAI) - Eurasian,,10/09/2022,31/12/2022,Resolved,1,,Issaquena County,Anas discors,Wild,No,32.902,-91.053,wild,FALSE,POINT (-91.0546875 32.89803818160523),2022-09-10
108637,4247,H5N1 (HPAI non. Plt),,17/10/2022,17/02/2023,Resolved,1,,Rockwall County,Birds,Domestic,No,32.916,-96.433,domestic,FALSE,POINT (-96.43798828125 32.91648534731439),2022-10-17
151594,4247,H5N1 (HPAI non. Plt),,31/01/2025,,Continuing,1,,Pinal County,Birds,Domestic,No,32.977,-111.517,domestic,FALSE,POINT (-111.522216796875 32.98102014898147),2025-01-31
110194,4247,H5N1 (HPAI non. Plt),,29/11/2022,6/04/2023,Resolved,1,,Denton County,Birds,Domestic,No,33.045,-97.021,domestic,FALSE,POINT (-97.020263671875 33.045507814909996),2022-11-29
145482,4247,H5N1 (HPAI non. Plt),,2/12/2024,,Continuing,1,,Lafayette County,Birds,Domestic,No,33.358,-93.577,domestic,FALSE,POINT (-93.58154296875 33.35806161277887),2024-12-02
111058,4247,H5N1 (HPAI non. Plt),,4/11/2022,31/12/2022,Resolved,1,,Maricopa County,Pelecanus crispus,Wild,No,33.451,-112.074,wild,FALSE,POINT (-112.071533203125 33.44977658311845),2022-11-04
145326,4247,H5N1 (HPAI non. Plt),,19/11/2024,,Continuing,1,,Maricopa County,Birds,Domestic,No,33.447,-112.075,domestic,FALSE,POINT (-112.071533203125 33.44977658311845),2024-11-19
109557,4247,H5N1 (HPAI non. Plt),,14/11/2022,31/12/2022,Resolved,1,,Maricopa County,Rhea americana,Wild,No,33.462,-112.108,wild,FALSE,POINT (-112.1044921875 33.45894275368764),2022-11-14
