outbreakId,reportId,diseaseName,diseaseType,startDate,endDate,status,totalOutbreaks,totalCases,locationName,species,animalCategoryLabel,isClusterLabel,latitude,longitude,animalCategory,isCluster,geometry
140928,4247,H5N1 (HPAI non. Plt),,21/09/2024,31/12/2024,Resolved,1,,Tulare County,Euphagus cyanocephalus,Wild,No,36.329,-119.315,wild,FALSE,POINT (-119.3115234375 36.3328280873792)
112351,4247,H5N1 (HPAI non. Plt),,6/12/2022,31/12/2022,Resolved,1,,Pershing County,Centrocercus urophasianus,Wild,No,40.181,-118.476,wild,FALSE,POINT (-118.4765625 40.17887331434699)
106714,4247,H5N1 (HPAI non. Plt),,3/08/2022,31/12/2022,Resolved,1,,North Slope Borough,Rissa tridactyla,Wild,No,71.248,-156.77,wild,FALSE,POINT (-156.77490234375 71.24788765673645)
124638,4247,H5N1 (HPAI non. Plt),,19/07/2023,31/12/2023,Resolved,1,,North Slope Borough,Ardenna tenuirostris,Wild,No,71.292,-156.783,wild,FALSE,POINT (-156.785888671875 71.29374720578107)
143545,4247,H5N1 (HPAI non. Plt),,5/11/2024,,Continuing,1,8,Honolulu County,"Anas platyrhynchos, Birds, Cairina moschata",Domestic and wild,No,21.306,-157.86,both,FALSE,POINT (-157.862548828125 21.309846141087192)
143683,4247,H5N1 (HPAI non. Plt),,7/11/2024,,Continuing,1,,Honolulu County,Birds,Domestic,No,21.306,-157.861,domestic,FALSE,POINT (-157.862548828125 21.309846141087192)
144026,4247,H5N1 (HPAI non. Plt),,1/11/2024,31/12/2024,Resolved,1,1,Honolulu County,Anatidae (incognita),Wild,No,21.307,-157.857,wild,FALSE,POINT (-157.8515625 21.309846141087192)
148262,4247,H5N1 (HPAI non. Plt),,31/12/2024,,Continuing,1,,Brazoria County,Birds,Domestic,No,29.168,-95.431,domestic,FALSE,POINT (-95.42724609375 29.171348850951503)
108963,4247,empty strain - H5N1 (HPAI non. Plt),,7/10/2022,31/12/2022,Resolved,1,1,Chambers County,"Plegadis falcinellus, Sterna forsteri",Wild,No,29.769,-94.685,wild,FALSE,POINT (-94.68017578125 29.76437737516312)
116579,4247,H5N1 (HPAI non. Plt),,11/10/2022,31/12/2022,Resolved,1,,Chambers County,Ajaia ajaja,Wild,No,29.773,-94.687,wild,FALSE,POINT (-94.691162109375 29.773913869992242)
108428,4247,H5N1 (HPAI non. Plt),,19/10/2022,31/12/2022,Resolved,1,,Cameron and Jefferson Davis Parish,Anas discors,Wild,No,29.795,-93.326,wild,FALSE,POINT (-93.328857421875 29.792984135470505)
146548,4247,H5N1 (HPAI non. Plt),,6/12/2024,,Continuing,1,,Jefferson Davis Parish,Birds,Domestic,No,30.218,-92.641,domestic,FALSE,POINT (-92.63671875 30.221101852485987)
151596,4247,H5N1 (HPAI non. Plt),,1/02/2025,,Continuing,1,,Calcasieu Parish,Birds,Domestic,No,30.237,-93.363,domestic,FALSE,POINT (-93.36181640625 30.240086360983426)
127941,4247,H5N1 (HPAI non. Plt),,8/11/2023,1/04/2024,Resolved,1,,Grimes County,Birds,Domestic,No,30.489,-95.997,domestic,FALSE,POINT (-95.99853515625 30.486550842588485)
148261,4247,H5N1 (HPAI non. Plt),,2/01/2025,,Continuing,1,,Burnet County,Birds,Domestic,No,30.757,-98.227,domestic,FALSE,POINT (-98.228759765625 30.76071890894447)
108970,4247,H5N1 (HPAI non. Plt),,13/10/2022,31/12/2022,Resolved,1,,Catahoula Parish,Balearica regulorum,Wild,No,31.772,-91.824,wild,FALSE,POINT (-91.82373046875 31.77487761850739)
127276,4247,H5N1 (HPAI non. Plt),,24/10/2023,31/12/2023,Resolved,1,,Pima County,"Cyanocorax chrysops, Eudocimus ruber, Sarcoramphus papa",Wild,No,32.222,-111.974,wild,FALSE,POINT (-111.97265625 32.222095840502334)
127577,4247,H5N1 (HPAI non. Plt),,27/10/2023,2/04/2024,Resolved,1,,Ellis County,Birds,Domestic,No,32.385,-96.846,domestic,FALSE,POINT (-96.844482421875 32.38923910985902)
145442,4247,H5N1 (HPAI non. Plt),,7/12/2024,,Continuing,1,,Bossier Parish,Birds,Domestic,No,32.68,-93.744,domestic,FALSE,POINT (-93.746337890625 32.676372772089834)
109559,4247,H5N1 (HPAI non. Plt),,9/11/2022,31/12/2022,Resolved,1,,San Diego County,"Ardeidae (incognita), Egretta thula, Plegadis chihi",Wild,No,32.717,-117.166,wild,FALSE,POINT (-117.169189453125 32.71335535317755)
107127,4247,H5N1 (HPAI non. Plt),,16/09/2022,1/03/2023,Resolved,1,,Dallas County,Birds,Domestic,No,32.756,-96.796,domestic,FALSE,POINT (-96.800537109375 32.759562025650126)
108971,4247,H5N1 (HPAI non. Plt),,25/10/2022,31/12/2022,Resolved,1,,Tarrant County,Phoenicopterus minor,Wild,No,32.756,-97.319,wild,FALSE,POINT (-97.31689453125 32.759562025650126)
